id;Наименование угрозы;Повторяемость
1.1;Перехват данных, циркулирующих в локальной сети;4
1.2;Дублирование данных с электронных носителей;3
1.3;Копирование данных, представленных на бумажных носителях;3
1.4;Утечка данных по акустическим и виброакустическим каналам;3
1.5;Утечка данных по оптическому каналу;3
1.6;Утечка данных по каналам ПЭМИН;2
1.7;Утечка данных по линиям электропитания и заземления;2
2.1;Ввод сотрудниками неверных данных;4
2.2;Намеренное искажение данных сотрудниками;3
2.3;Нарушение целостности БД;3
2.4;Подмена данных на электронных носителях;2
2.5;Подмена данных на бумажных носителях;2
2.6;Потеря данных в результате сбоев системы электропитания;1
2.7;Потеря данных в результате пожара и других чрезвычайных ситуациях;1
3.1;Отказ в доступе к данным в БД и электронных массивах;2
3.2;Нарушение работы СКУД;2
3.3;Нарушение своевременности информационного обмена;4
3.4;Потеря электронных носителей;2
3.5;Невозможность доступа к информации на электронных носителях;3
3.6;Потеря или порча бумажных носителей;3
3.7;Нецелевое использование программно-аппаратных средств;4
4.1;Нарушение целостности программной среды;3
4.2;Кража средств обработки информации;1
4.3;Приведение в неработоспособное состояние оборудования АРМ;2
4.4;Нарушение функционирования средств хранения и обработки электронных массивов данных;2
4.5;Физическая порча линий связи;1
4.6;Разрушение хранилищ данных в неэлектронном виде;1
