      | 1.1.1 | 1.1.4 | 1.3.1 | 1.4.1 | 1.5.1 | 2.1.1 | 2.3.1 | 2.3.5 | 2.4.2 | 2.4.3 | 2.5.1 | 2.5.2 | 3.1.3 | 3.2.1 | 3.2.3 | 3.3.2 | 3.5.3 | 3.5.5 | 3.6.1 | 3.6.5 | 4.1.4 | 4.1.5 | 4.3.4 | 4.4.3 | 4.4.4 | 4.4.5 | 4.5.1 | 5.1.1 | 5.1.3 | 5.2.3 |
1.1.1 |1.00000|1.00000|1.00000|1.00000|1.00000|0.20000|0.20000|0.20000|0.20000|0.20000|0.20000|0.20000|7.00000|7.00000|7.00000|7.00000|7.00000|7.00000|7.00000|7.00000|9.00000|9.00000|9.00000|9.00000|9.00000|9.00000|9.00000|0.50000|0.50000|0.50000|
1.1.4 |1.00000|1.00000|1.00000|1.00000|1.00000|0.20000|0.20000|0.20000|0.20000|0.20000|0.20000|0.20000|7.00000|7.00000|7.00000|7.00000|7.00000|7.00000|7.00000|7.00000|9.00000|9.00000|9.00000|9.00000|9.00000|9.00000|9.00000|0.50000|0.50000|0.50000|
1.3.1 |1.00000|1.00000|1.00000|1.00000|1.00000|0.20000|0.20000|0.20000|0.20000|0.20000|0.20000|0.20000|7.00000|7.00000|7.00000|7.00000|7.00000|7.00000|7.00000|7.00000|9.00000|9.00000|9.00000|9.00000|9.00000|9.00000|9.00000|0.50000|0.50000|0.50000|
1.4.1 |1.00000|1.00000|1.00000|1.00000|1.00000|0.20000|0.20000|0.20000|0.20000|0.20000|0.20000|0.20000|7.00000|7.00000|7.00000|7.00000|7.00000|7.00000|7.00000|7.00000|9.00000|9.00000|9.00000|9.00000|9.00000|9.00000|9.00000|0.50000|0.50000|0.50000|
1.5.1 |1.00000|1.00000|1.00000|1.00000|1.00000|0.20000|0.20000|0.20000|0.20000|0.20000|0.20000|0.20000|7.00000|7.00000|7.00000|7.00000|7.00000|7.00000|7.00000|7.00000|9.00000|9.00000|9.00000|9.00000|9.00000|9.00000|9.00000|0.50000|0.50000|0.50000|
2.1.1 |5.00000|5.00000|5.00000|5.00000|5.00000|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|6.00000|6.00000|6.00000|6.00000|6.00000|6.00000|6.00000|6.00000|3.00000|3.00000|3.00000|3.00000|3.00000|3.00000|3.00000|6.00000|6.00000|6.00000|
2.3.1 |5.00000|5.00000|5.00000|5.00000|5.00000|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|6.00000|6.00000|6.00000|6.00000|6.00000|6.00000|6.00000|6.00000|3.00000|3.00000|3.00000|3.00000|3.00000|3.00000|3.00000|6.00000|6.00000|6.00000|
2.3.5 |5.00000|5.00000|5.00000|5.00000|5.00000|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|6.00000|6.00000|6.00000|6.00000|6.00000|6.00000|6.00000|6.00000|3.00000|3.00000|3.00000|3.00000|3.00000|3.00000|3.00000|6.00000|6.00000|6.00000|
2.4.2 |5.00000|5.00000|5.00000|5.00000|5.00000|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|6.00000|6.00000|6.00000|6.00000|6.00000|6.00000|6.00000|6.00000|3.00000|3.00000|3.00000|3.00000|3.00000|3.00000|3.00000|6.00000|6.00000|6.00000|
2.4.3 |5.00000|5.00000|5.00000|5.00000|5.00000|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|6.00000|6.00000|6.00000|6.00000|6.00000|6.00000|6.00000|6.00000|3.00000|3.00000|3.00000|3.00000|3.00000|3.00000|3.00000|6.00000|6.00000|6.00000|
2.5.1 |5.00000|5.00000|5.00000|5.00000|5.00000|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|6.00000|6.00000|6.00000|6.00000|6.00000|6.00000|6.00000|6.00000|3.00000|3.00000|3.00000|3.00000|3.00000|3.00000|3.00000|6.00000|6.00000|6.00000|
2.5.2 |5.00000|5.00000|5.00000|5.00000|5.00000|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|6.00000|6.00000|6.00000|6.00000|6.00000|6.00000|6.00000|6.00000|3.00000|3.00000|3.00000|3.00000|3.00000|3.00000|3.00000|6.00000|6.00000|6.00000|
3.1.3 |0.14286|0.14286|0.14286|0.14286|0.14286|0.16667|0.16667|0.16667|0.16667|0.16667|0.16667|0.16667|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|0.14286|0.14286|0.14286|0.14286|0.14286|0.14286|0.14286|5.00000|5.00000|5.00000|
