      | 1.1.1 | 1.1.4 | 1.2.1 | 1.2.2 | 1.3.1 | 1.5.3 | 1.5.4 | 2.1.1 | 2.1.2 | 2.2.2 | 2.3.1 | 2.3.5 | 2.5.2 | 3.1.2 | 3.1.3 | 3.2.2 | 3.2.3 | 3.3.1 | 3.5.5 | 3.6.4 | 3.6.5 | 4.1.1 | 4.2.1 | 4.3.3 | 4.3.5 | 4.3.6 | 4.3.7 | 4.4.2 | 4.4.4 | 4.4.5 | 4.5.2 | 4.5.3 | 5.1.2 | 5.2.2 | 5.2.3 |
1.1.1 |1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|2.00000|2.00000|2.00000|2.00000|2.00000|2.00000|5.00000|5.00000|5.00000|5.00000|5.00000|5.00000|5.00000|5.00000|0.50000|0.50000|0.50000|0.50000|0.50000|0.50000|0.50000|0.50000|0.50000|0.50000|0.50000|1.00000|1.00000|1.00000|
1.1.4 |1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|2.00000|2.00000|2.00000|2.00000|2.00000|2.00000|5.00000|5.00000|5.00000|5.00000|5.00000|5.00000|5.00000|5.00000|0.50000|0.50000|0.50000|0.50000|0.50000|0.50000|0.50000|0.50000|0.50000|0.50000|0.50000|1.00000|1.00000|1.00000|
1.2.1 |1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|2.00000|2.00000|2.00000|2.00000|2.00000|2.00000|5.00000|5.00000|5.00000|5.00000|5.00000|5.00000|5.00000|5.00000|0.50000|0.50000|0.50000|0.50000|0.50000|0.50000|0.50000|0.50000|0.50000|0.50000|0.50000|1.00000|1.00000|1.00000|
1.2.2 |1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|2.00000|2.00000|2.00000|2.00000|2.00000|2.00000|5.00000|5.00000|5.00000|5.00000|5.00000|5.00000|5.00000|5.00000|0.50000|0.50000|0.50000|0.50000|0.50000|0.50000|0.50000|0.50000|0.50000|0.50000|0.50000|1.00000|1.00000|1.00000|
1.3.1 |1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|2.00000|2.00000|2.00000|2.00000|2.00000|2.00000|5.00000|5.00000|5.00000|5.00000|5.00000|5.00000|5.00000|5.00000|0.50000|0.50000|0.50000|0.50000|0.50000|0.50000|0.50000|0.50000|0.50000|0.50000|0.50000|1.00000|1.00000|1.00000|
1.5.3 |1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|2.00000|2.00000|2.00000|2.00000|2.00000|2.00000|5.00000|5.00000|5.00000|5.00000|5.00000|5.00000|5.00000|5.00000|0.50000|0.50000|0.50000|0.50000|0.50000|0.50000|0.50000|0.50000|0.50000|0.50000|0.50000|1.00000|1.00000|1.00000|
1.5.4 |1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|2.00000|2.00000|2.00000|2.00000|2.00000|2.00000|5.00000|5.00000|5.00000|5.00000|5.00000|5.00000|5.00000|5.00000|0.50000|0.50000|0.50000|0.50000|0.50000|0.50000|0.50000|0.50000|0.50000|0.50000|0.50000|1.00000|1.00000|1.00000|
2.1.1 |0.50000|0.50000|0.50000|0.50000|0.50000|0.50000|0.50000|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|0.20000|0.20000|0.20000|0.20000|0.20000|0.20000|0.20000|0.20000|2.00000|2.00000|2.00000|2.00000|2.00000|2.00000|2.00000|2.00000|2.00000|2.00000|2.00000|0.14286|0.14286|0.14286|
2.1.2 |0.50000|0.50000|0.50000|0.50000|0.50000|0.50000|0.50000|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|0.20000|0.20000|0.20000|0.20000|0.20000|0.20000|0.20000|0.20000|2.00000|2.00000|2.00000|2.00000|2.00000|2.00000|2.00000|2.00000|2.00000|2.00000|2.00000|0.14286|0.14286|0.14286|
2.2.2 |0.50000|0.50000|0.50000|0.50000|0.50000|0.50000|0.50000|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|0.20000|0.20000|0.20000|0.20000|0.20000|0.20000|0.20000|0.20000|2.00000|2.00000|2.00000|2.00000|2.00000|2.00000|2.00000|2.00000|2.00000|2.00000|2.00000|0.14286|0.14286|0.14286|
2.3.1 |0.50000|0.50000|0.50000|0.50000|0.50000|0.50000|0.50000|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|0.20000|0.20000|0.20000|0.20000|0.20000|0.20000|0.20000|0.20000|2.00000|2.00000|2.00000|2.00000|2.00000|2.00000|2.00000|2.00000|2.00000|2.00000|2.00000|0.14286|0.14286|0.14286|
2.3.5 |0.50000|0.50000|0.50000|0.50000|0.50000|0.50000|0.50000|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|0.20000|0.20000|0.20000|0.20000|0.20000|0.20000|0.20000|0.20000|2.00000|2.00000|2.00000|2.00000|2.00000|2.00000|2.00000|2.00000|2.00000|2.00000|2.00000|0.14286|0.14286|0.14286|
