index;x;A;B;y;fx
1;1;0.20;0.24;3_20;y = 4*x + 4
2;2;0.37;0.25;3_20;y = 4*x + 4
3;3;0.47;0.49;3_20;y = 4*x + 4
4;4;0.51;0.50;3_20;y = 4*x + 4
5;5;0.71;0.66;3_20;y = 4*x + 4
6;6;0.87;0.79;3_20;y = 4*x + 4
7;7;0.89;0.89;3_20;y = 4*x + 4
8;8;1.0;1.0;3_20;y = 4*x + 4
9;9;0.88;0.89;3_20;y = 4*x + 4
10;10;0.76;0.77;3_20;y = 4*x + 4
11;11;0.63;0.65;3_20;y = 4*x + 4
12;12;0.51;0.55;3_20;y = 4*x + 4
13;13;0.42;0.44;3_20;y = 4*x + 4
14;14;0.31;0.32;3_20;y = 4*x + 4
15;15;0.13;0.18;3_20;y = 4*x + 4
16;16;0.08;0.08;3_20;y = 4*x + 4
